iter	Passed	Remaining
847	31979	5732
848	32011	5693
849	32043	5654
850	32077	5616
851	32107	5577
852	32138	5538
853	32174	5500
854	32204	5461
855	32253	5425
856	32284	5387
857	32313	5347
858	32351	5310
859	32381	5271
860	32414	5233
861	32454	5195
862	32485	5156
863	32517	5118
864	32553	5080
865	32582	5041
866	32611	5002
867	32643	4964
868	32677	4926
869	32729	4890
870	32768	4853
871	32798	4814
872	32828	4775
873	32868	4738
874	32899	4699
875	32930	4661
876	32965	4623
877	32994	4584
878	33025	4546
879	33062	4508
880	33096	4470
881	33145	4434
882	33173	4395
883	33205	4357
884	33237	4319
885	33275	4281
886	33304	4242
887	33335	4204
888	33369	4166
889	33401	4128
890	33432	4089
891	33465	4051
892	33495	4013
893	33542	3977
894	33569	3938
895	33598	3899
896	33632	3861
897	33668	3824
898	33707	3786
899	33739	3748
900	33775	3711
901	33806	3672
902	33838	3634
903	33874	3597
904	33912	3559
905	33949	3522
906	33984	3484
907	34017	3446
908	34056	3409
909	34090	3371
910	34122	3333
911	34155	3295
912	34187	3257
913	34215	3219
914	34252	3181
915	34284	3143
916	34323	3106
917	34367	3069
918	34399	3031
919	34428	2993
920	34468	2956
921	34496	2918
922	34528	2880
923	34567	2843
924	34599	2805
925	34629	2767
926	34668	2730
927	34703	2692
928	34751	2655
929	34782	2618
930	34812	2580
931	34848	2542
932	34881	2504
933	34913	2467
934	34944	2429
935	34974	2391
936	35007	2353
937	35038	2316
938	35074	2278
939	35108	2240
940	35158	2204
941	35188	2166
942	35219	2128
943	35254	2091
944	35285	2053
945	35317	2016
946	35352	1978
947	35385	1940
948	35415	1903
949	35453	1865
950	35484	1828
951	35515	1790
952	35547	1753
953	35595	1716
954	35627	1678
955	35662	1641
956	35698	1604
957	35730	1566
958	35765	1529
959	35795	1491
960	35828	1454
961	35863	1416
962	35892	1379
963	35925	1341
964	35982	1305
965	36011	1267
966	36042	1230
967	36075	1192
968	36107	1155
969	36137	1117
970	36171	1080
971	36201	1042
972	36231	1005
973	36268	968
974	36296	930
975	36327	893
976	36375	856
977	36403	818
978	36434	781
979	36470	744
980	36503	706
981	36534	669
982	36569	632
983	36600	595
984	36634	557
985	36669	520
986	36706	483
987	36751	446
988	36786	409
989	36818	371
